time,pd_4,pd_7,pd_8,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,pm_12,pm_13,pm_14,pm_15,pm_16,mocap_1,mocap_2,mocap_3,mocap_4,mocap_5,mocap_6,mocap_7,mocap_8,mocap_9,mocap_10,mocap_11,mocap_12,mocap_13,mocap_14,mocap_15,mocap_16,mocap_17,mocap_18,mocap_19,mocap_20,mocap_21
0.464622,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229218,0.319667,0.000909,0.005879,0.000983,-0.999982,0.543442,1.127834,0.229232,-0.001176,-0.005786,-0.000529,0.999982,0.577253,0.803676,0.272705,-0.018237,-0.017242,0.015860,0.999559
0.474864,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.002,0.022,-0.052,0.023,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484769,1.229215,0.319665,0.000897,0.005873,0.000974,-0.999982,0.543452,1.127836,0.229233,-0.001201,-0.005784,-0.000550,0.999982,0.577254,0.803674,0.272697,-0.018237,-0.017240,0.015859,0.999559
0.485144,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229216,0.319667,0.000898,0.005878,0.000975,-0.999982,0.543441,1.127838,0.229233,-0.001169,-0.005788,-0.000521,0.999982,0.577257,0.803675,0.272702,-0.018238,-0.017241,0.015867,0.999559
0.495450,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484770,1.229216,0.319667,0.000898,0.005878,0.000975,-0.999982,0.543441,1.127838,0.229233,-0.001169,-0.005788,-0.000521,0.999982,0.577257,0.803675,0.272702,-0.018238,-0.017241,0.015867,0.999559
0.505805,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484766,1.229219,0.319669,0.000900,0.005874,0.000974,-0.999982,0.543445,1.127837,0.229230,-0.001159,-0.005788,-0.000523,0.999982,0.577258,0.803675,0.272702,-0.018233,-0.017239,0.015864,0.999559
0.516075,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.010,-0.008,-0.022,-0.035,0.000,0.000,0.000,0.000,0.484772,1.229217,0.319670,0.000898,0.005880,0.000980,-0.999982,0.543447,1.127838,0.229232,-0.001185,-0.005828,-0.000549,0.999982,0.577263,0.803676,0.272701,-0.018233,-0.017243,0.015870,0.999559
0.526340,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484772,1.229217,0.319670,0.000898,0.005880,0.000980,-0.999982,0.543447,1.127838,0.229232,-0.001185,-0.005828,-0.000549,0.999982,0.577263,0.803676,0.272701,-0.018233,-0.017243,0.015870,0.999559
0.536667,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484762,1.229214,0.319670,0.000905,0.005875,0.000985,-0.999982,0.543450,1.127832,0.229233,-0.001180,-0.005796,-0.000542,0.999982,0.577260,0.803672,0.272699,-0.018230,-0.017238,0.015863,0.999559
0.546971,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484762,1.229214,0.319670,0.000905,0.005875,0.000985,-0.999982,0.543450,1.127832,0.229233,-0.001180,-0.005796,-0.000542,0.999982,0.577260,0.803672,0.272699,-0.018230,-0.017238,0.015863,0.999559
0.557239,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484769,1.229215,0.319670,0.000906,0.005881,0.000971,-0.999982,0.543446,1.127837,0.229235,-0.001182,-0.005785,-0.000546,0.999982,0.577257,0.803673,0.272702,-0.018235,-0.017239,0.015864,0.999559
0.567572,0.000,0.000,0.000,0.331,0.339,0.344,0.341,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484769,1.229215,0.319670,0.000906,0.005881,0.000971,-0.999982,0.543446,1.127837,0.229235,-0.001182,-0.005785,-0.000546,0.999982,0.577257,0.803673,0.272702,-0.018235,-0.017239,0.015864,0.999559
0.577901,0.000,0.000,0.000,0.330,0.337,0.337,0.339,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484770,1.229220,0.319669,0.000901,0.005880,0.000976,-0.999982,0.543440,1.127833,0.229231,-0.001148,-0.005817,-0.000516,0.999982,0.577257,0.803673,0.272703,-0.018233,-0.017241,0.015865,0.999559
0.588156,0.000,0.000,0.000,0.330,0.337,0.337,0.339,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484770,1.229220,0.319669,0.000901,0.005880,0.000976,-0.999982,0.543440,1.127833,0.229231,-0.001148,-0.005817,-0.000516,0.999982,0.577257,0.803673,0.272703,-0.018233,-0.017241,0.015865,0.999559
0.598388,0.000,0.000,0.000,0.330,0.337,0.337,0.339,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484770,1.229220,0.319669,0.000901,0.005880,0.000976,-0.999982,0.543440,1.127833,0.229231,-0.001148,-0.005817,-0.000516,0.999982,0.577257,0.803673,0.272703,-0.018233,-0.017241,0.015865,0.999559
0.608614,0.000,0.000,0.000,0.330,0.337,0.337,0.339,-0.001,0.022,-0.052,0.024,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484765,1.229220,0.319670,0.000906,0.005885,0.000984,-0.999982,0.543441,1.127833,0.229235,-0.001156,-0.005812,-0.000530,0.999982,0.577264,0.803672,0.272702,-0.018225,-0.017249,0.015867,0.999559
0.618844,0.000,0.000,0.000,0.330,0.337,0.337,0.339,0.006,0.027,-0.054,0.023,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484765,1.229220,0.319670,0.000906,0.005885,0.000984,-0.999982,0.543441,1.127833,0.229235,-0.001156,-0.005812,-0.000530,0.999982,0.577264,0.803672,0.272702,-0.018225,-0.017249,0.015867,0.999559
0.629079,0.000,0.000,0.000,0.330,0.337,0.337,0.339,0.006,0.027,-0.054,0.023,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484765,1.229220,0.319670,0.000906,0.005885,0.000984,-0.999982,0.543441,1.127833,0.229235,-0.001156,-0.005812,-0.000530,0.999982,0.577264,0.803672,0.272702,-0.018225,-0.017249,0.015867,0.999559
0.639329,0.000,0.000,0.000,0.330,0.337,0.337,0.339,0.006,0.027,-0.054,0.023,0.009,-0.005,-0.025,-0.036,0.000,0.000,0.000,0.000,0.484774,1.229217,0.319668,0.000900,0.005884,0.000973,-0.999982,0.543439,1.127833,0.229233,-0.001161,-0.005805,-0.000529,0.999982,0.577257,0.803674,0.272704,-0.018235,-0.017235,0.015864,0.999559
